candidate_id,job_role,fit_score_weighted_heuristic,fit_score_embedding_similarity,fit_score_supervised_ranker
R0,Software Engineer,0.6231,0.3264,0.9574
R1,Data Scientist,0.4212,0.0635,0.7854
R2,ML Engineer,0.4818,0.3455,0.5986
R3,Data Scientist,0.6336,0.3007,0.9689
R4,Data Analyst,0.6376,0.4294,0.9324
R5,Data Analyst,0.4188,0.0563,0.7857
R6,ML Engineer,0.2488,0.0465,0.1517
R7,Frontend Developer,0.5426,0.2279,0.9132
R8,ML Engineer,0.5632,0.2229,0.9384
R9,Data Analyst,0.5814,0.2776,0.9374
R10,Data Scientist,0.4956,0.1868,0.8596
R11,Software Engineer,0.5637,0.2243,0.9384
R12,Backend Developer,0.4887,0.1518,0.8702
R13,Software Engineer,0.6206,0.3189,0.9575
R14,Software Engineer,0.5881,0.2444,0.9531
R15,Data Analyst,0.5524,0.2288,0.9249
R16,Frontend Developer,0.7014,0.3709,0.9846
R17,Software Engineer,0.6347,0.304,0.9688
R18,ML Engineer,0.372,0.0661,0.5961
R19,Data Analyst,0.6009,0.4443,0.8657
R20,Backend Developer,0.7014,0.3708,0.9846
R21,Software Engineer,0.5998,0.2994,0.9471
R22,Frontend Developer,0.4832,0.1352,0.8708
R23,Backend Developer,0.6391,0.3174,0.9687
R24,Data Analyst,0.3246,0.0737,0.3727
R25,Data Scientist,0.6384,0.3151,0.9687
R26,ML Engineer,0.5033,0.15,0.8962
R27,Backend Developer,0.3468,0.2404,0.2176
R28,Frontend Developer,0.4871,0.1279,0.8824
R29,Frontend Developer,0.7313,0.394,0.9892
R30,ML Engineer,0.4625,0.2875,0.603
R31,ML Engineer,0.3524,0.0447,0.5422
R32,Frontend Developer,0.347,0.091,0.4444
R33,Backend Developer,0.6014,0.374,0.9126
R34,Backend Developer,0.4239,0.0717,0.7849
R35,Data Scientist,0.5267,0.1801,0.9144
R36,Backend Developer,0.5311,0.1933,0.914
R37,Data Analyst,0.5909,0.2728,0.9475
R38,Frontend Developer,0.5294,0.3549,0.7568
R39,Backend Developer,0.5617,0.315,0.8892
R40,Data Scientist,0.409,0.3769,0.2456
R41,Data Scientist,0.6928,0.3985,0.9792
R42,Data Analyst,0.4846,0.1538,0.8609
R43,Frontend Developer,0.3334,0.1859,0.2437
R44,Data Scientist,0.3873,0.2418,0.3508
R45,Frontend Developer,0.5043,0.1528,0.8962
R46,Software Engineer,0.5515,0.1877,0.9391
R47,Data Analyst,0.5695,0.2417,0.9381
R48,Data Analyst,0.4462,0.1386,0.7813
